"DataMessageGUID","SensorID","Date","Formatted Value"
"f5e55605-a481-44e2-8853-df4135984b6e","465974","19-12-06 00:26","30.5% @ 25.3° C"
"1c63cf6e-05b5-4f71-800d-c820f75ac1b8","465974","19-12-06 00:16","30.49% @ 25.3° C"
"46a17b29-23c1-4afa-8d43-adddd2ec4f4d","465974","19-12-06 00:06","30.48% @ 25.2° C"
"1de62258-4459-40f5-92fe-18f17b7bdf2f","465974","19-12-05 23:56","30.39% @ 25.2° C"
"12c84ea7-dd3b-488f-b9a4-479b258ceb44","465974","19-12-05 23:46","30.43% @ 25.2° C"
"0459787a-8794-40ae-87f0-4f3a2175e76b","465974","19-12-05 23:36","30.4% @ 25.2° C"
"c32371ea-cfc6-410f-96b1-df2df6e00d14","465974","19-12-05 23:26","30.35% @ 25.1° C"
"1bc521d3-b1ae-4d43-acf5-e3868ee766f3","465974","19-12-05 23:16","30.35% @ 25.1° C"
"48f9ad6b-4eea-4094-a232-cc7b7dca6cc0","465974","19-12-05 23:06","30.27% @ 25.1° C"
"f43614aa-3c10-41ef-91e1-15dc25571e3d","465974","19-12-05 22:56","30.28% @ 25.1° C"
"7638e2a2-3a07-4d7d-aff2-aabc5c5a6281","465974","19-12-05 22:46","30.26% @ 25° C"
"19099a7e-864c-4d25-86e4-5043adef8c89","465974","19-12-05 22:36","30.15% @ 25° C"
"bff57316-84b2-4b9e-acdc-e4af3d9c82d6","465974","19-12-05 22:26","30.15% @ 24.9° C"
"8bebc815-b831-4987-a459-493a7a325547","465974","19-12-05 22:16","30.11% @ 24.9° C"
"93ec8b7d-41dc-4f6f-86ca-ed6a366e0fb4","465974","19-12-05 22:06","30.07% @ 24.9° C"
"d98b650a-9786-45ab-b554-9252692c6676","465974","19-12-05 21:56","30.03% @ 24.9° C"
"018c52e7-8c2f-4046-a075-61f91e0f9e71","465974","19-12-05 21:46","30.03% @ 24.9° C"
"0fcead0d-3160-4347-b0a1-32951f3a7c4b","465974","19-12-05 21:36","30% @ 24.9° C"
"11b25e87-120b-4909-9c5d-604188f1473f","465974","19-12-05 21:26","29.9% @ 24.8° C"
"b2e59958-c695-4832-b3b6-ee458d474db2","465974","19-12-05 21:16","29.85% @ 24.8° C"
"833f4867-7309-4878-9b91-3f5e88838985","465974","19-12-05 21:06","29.77% @ 24.7° C"
"14a3b444-5ae8-4fe2-9408-fe479daeebb2","465974","19-12-05 20:56","29.72% @ 24.7° C"
"61874abd-6018-4633-92f2-64773f492cb0","465974","19-12-05 20:46","29.7% @ 24.7° C"
"28c6b6dd-6edc-4115-8308-0155e6d6ccd8","465974","19-12-05 20:36","29.65% @ 24.7° C"
"d0aa94a0-46df-496a-8f4b-3fa3e5f65651","465974","19-12-05 20:26","29.6% @ 24.6° C"
"36579534-3247-4914-a1d5-a5e446dd5cdd","465974","19-12-05 20:16","29.57% @ 24.6° C"
"7258e58f-d107-48a3-bd53-83d5b230b904","465974","19-12-05 20:06","29.48% @ 24.5° C"
"105b3c6d-320a-4178-a318-6d6a060520f3","465974","19-12-05 19:56","29.4% @ 24.5° C"
"95fc75b2-f479-49e7-b96b-0a084bc7a021","465974","19-12-05 19:46","29.35% @ 24.5° C"
"31c5e40f-dfad-4713-acea-82cee981698f","465974","19-12-05 19:36","29.28% @ 24.4° C"
"7339705e-44c5-4658-b41f-dccecf1b96aa","465974","19-12-05 19:26","29.22% @ 24.4° C"
"0a9af04b-c808-44d3-820e-12b44aba0ebc","465974","19-12-05 19:16","29.15% @ 24.3° C"
"b76b3236-3283-4fd9-992f-0738eaa9debc","465974","19-12-05 19:06","29.13% @ 24.2° C"
"4be301d0-1e44-4a62-a829-c1eb3e69b38f","465974","19-12-05 18:56","28.98% @ 24.2° C"
"6d54dab5-6ccf-4602-a065-1c5127000dcf","465974","19-12-05 18:46","28.96% @ 24.1° C"
"56cbfac2-0bd6-4129-b265-0da4858bf9c6","465974","19-12-05 18:36","28.86% @ 24° C"
"7ee4c50c-28c9-4406-a75b-ab7f99b9d909","465974","19-12-05 18:26","28.78% @ 24° C"
"f3407c4f-e106-44f4-ab4f-3b332266a37d","465974","19-12-05 18:16","28.75% @ 24° C"
"d59c48b4-8748-40c1-a4c1-aabddecf0ec4","465974","19-12-05 18:06","28.7% @ 23.9° C"
"652ef76e-15f6-48a4-b845-69fb1721534e","465974","19-12-05 17:56","28.65% @ 23.9° C"
"7c6728ce-66ff-429c-b812-a8d52d4b6805","465974","19-12-05 17:46","28.62% @ 23.9° C"
"33a34cae-b86a-4b3c-8ed2-0fd4cb96b394","465974","19-12-05 17:36","28.54% @ 23.9° C"
"cb948dca-5ea4-4c12-920b-dacc553c3d2d","465974","19-12-05 17:26","28.65% @ 23.9° C"
"91afc76e-3ff0-40cb-9b80-6f9f5f51fc14","465974","19-12-05 17:16","28.64% @ 24° C"
"db2d2e95-9a47-4156-aa5a-25b3c473106c","465974","19-12-05 17:06","28.64% @ 24° C"
"99b96d04-dbc1-4288-b54d-338c373033dc","465974","19-12-05 16:56","28.64% @ 24° C"
"04675245-9d4b-490e-85cc-0a072f733c4e","465974","19-12-05 16:46","28.67% @ 24° C"
"354af264-28b9-4511-b240-fb46e2f87244","465974","19-12-05 16:36","28.77% @ 24.1° C"
"579bad2e-5540-45a4-b935-39b830286c63","465974","19-12-05 16:26","28.8% @ 24.1° C"
"1fec5458-cf46-400f-9b76-59a972476306","465974","19-12-05 16:16","28.88% @ 24.1° C"
"6eb0746e-45b0-4889-b5b6-d45bc22faaa2","465974","19-12-05 16:06","28.96% @ 24.2° C"
"8a5cf05b-b16b-465a-871d-43728a3a60f1","465974","19-12-05 15:56","29.06% @ 24.2° C"
"c8b3d92b-5e87-42d5-b1f5-5ff4b665fb04","465974","19-12-05 15:46","29.11% @ 24.2° C"
"167f613c-1878-46e9-a1bf-3b431cbe4ec8","465974","19-12-05 15:36","29.11% @ 24.2° C"
"2cb192a0-ddda-4f56-930c-6971f6f79ae7","465974","19-12-05 15:26","29.24% @ 24.2° C"
"9eefe8c2-7aba-4f54-a251-2076a46afe15","465974","19-12-05 15:16","29.22% @ 24.2° C"
"0785881a-6693-44a3-b9eb-bc29bd9d5f9e","465974","19-12-05 15:06","29.33% @ 24.2° C"
"d8deff90-a86a-4f99-b2d7-4c0b63836013","465974","19-12-05 14:56","29.33% @ 24.2° C"
"9dcecd9f-a3cf-4c03-97a9-6dbe4c2111cb","465974","19-12-05 14:46","29.41% @ 24.3° C"
"fef055f9-0f85-4e2e-bd5e-1dcfd1af48e6","465974","19-12-05 14:36","29.48% @ 24.3° C"
"08c3e18b-55e3-4e74-ac38-b1f4b0d8b962","465974","19-12-05 14:26","29.61% @ 24.3° C"
"9cb4130b-dd0b-48f5-b981-5fc832bafec1","465974","19-12-05 14:16","29.66% @ 24.4° C"
"61e46b42-b008-4f2d-85a4-ae22fdff28fb","465974","19-12-05 14:06","29.81% @ 24.5° C"
"43d372bf-57a3-46d3-a86e-671903b80d52","465974","19-12-05 13:56","29.89% @ 24.5° C"
"4f7a52c1-6de2-4598-a93e-f12d28d27628","465974","19-12-05 13:46","29.99% @ 24.6° C"
"f82087c5-80ad-4c02-9fa7-0cc202c279c2","465974","19-12-05 13:36","30.1% @ 24.7° C"
"7b006b97-124c-45d7-abd2-24f3a42a8689","465974","19-12-05 13:26","30.23% @ 24.7° C"
"c3136e6d-b4b7-48e7-9554-e06a33e013b0","465974","19-12-05 13:16","30.34% @ 24.8° C"
"24201422-6c69-495b-a462-7ab221e32124","465974","19-12-05 13:06","30.43% @ 24.8° C"
"b7047678-320c-4bea-b17f-13bff6954aa0","465974","19-12-05 12:56","30.47% @ 24.9° C"
"bdf9cdb9-2380-45f6-87a7-fed784ff53bf","465974","19-12-05 12:46","30.56% @ 24.9° C"
"61493c79-34f4-4c9c-b457-a23cb27b0ea4","465974","19-12-05 12:36","30.56% @ 24.9° C"
"b7b29b12-c2d8-4314-bb27-f88ac1206eef","465974","19-12-05 12:26","30.53% @ 24.9° C"
"f24f7b96-7e3d-41d9-aafc-c6b3530683b1","465974","19-12-05 12:16","30.62% @ 25° C"
"d36b9433-35b0-4403-bbf6-6bfd4e32883c","465974","19-12-05 12:06","30.67% @ 25° C"
"5fe2f81b-aaef-4232-a0da-e3e93f5e7b10","465974","19-12-05 11:56","30.76% @ 25° C"
"80df70ec-d69c-44e4-aa3b-68fa82128a84","465974","19-12-05 11:46","30.78% @ 25° C"
"ce326a16-43a2-4e62-8226-af3b23706235","465974","19-12-05 11:36","30.82% @ 25.1° C"
"b24aa116-c2e2-43ea-959f-17eb337801c5","465974","19-12-05 11:26","30.81% @ 25.2° C"
"e1e6e52f-1da9-43ff-a190-adf367e93fe1","465974","19-12-05 11:16","30.91% @ 25.2° C"
"42e033ad-8db8-48a2-ad43-d1ee1242d4b9","465974","19-12-05 11:06","31.01% @ 25.3° C"
"4941d30e-5446-4cc3-97b8-2e8e48c858b5","465974","19-12-05 10:56","31.06% @ 25.4° C"
"91c10fcd-1df1-43e1-be37-22fb6fb958be","465974","19-12-05 10:46","31.15% @ 25.4° C"
"b07ac1f5-4068-46d0-876c-9f9695c6cfbf","465974","19-12-05 10:36","31.28% @ 25.5° C"
"1c23dd33-fc3b-4e8a-a43d-9f9001fb03fd","465974","19-12-05 10:26","31.38% @ 25.5° C"
"d7b2eee2-896c-491e-8531-298bd1088b15","465974","19-12-05 10:16","31.46% @ 25.6° C"
"7ddd40f5-d93a-4fb7-ac79-9cf57c4a699d","465974","19-12-05 10:06","31.51% @ 25.6° C"
"2750f23b-f044-4467-ab03-0a01dddaecf3","465974","19-12-05 09:56","31.56% @ 25.6° C"
"8d689b89-fdb8-45f3-80b9-8d2d3187b702","465974","19-12-05 09:46","31.56% @ 25.6° C"
"adf867ef-eafa-4a7a-9d5d-d4485bc933f1","465974","19-12-05 09:36","31.54% @ 25.7° C"
"44467379-e502-4931-8878-8501e92f6449","465974","19-12-05 09:26","31.61% @ 25.7° C"
"5a6ed00d-dec9-4381-9179-5412a487abae","465974","19-12-05 09:16","31.59% @ 25.7° C"
"21453a7f-bb53-40db-adab-f92ff2e4a382","465974","19-12-05 09:06","31.61% @ 25.7° C"
"bedf69e7-bc8b-4171-b0ce-bf3768f12525","465974","19-12-05 08:56","31.65% @ 25.7° C"
"07270e11-09de-417d-924a-67c828d81242","465974","19-12-05 08:46","31.71% @ 25.7° C"
"bffe6c5c-a269-4379-99af-66e9fa66305c","465974","19-12-05 08:36","31.78% @ 25.7° C"
"bc22b54d-9484-4cfa-b251-5b105ea4777f","465974","19-12-05 08:26","31.75% @ 25.7° C"
"c19a6fd3-32d7-4fd2-ba7c-ea5f16468efc","465974","19-12-05 08:16","31.81% @ 25.7° C"
"fa94c8e1-a153-4ed2-abbb-0e27b27642fe","465974","19-12-05 08:06","31.85% @ 25.7° C"
"cfff9dbb-cf32-4fc7-b45f-182bd904b48e","465974","19-12-05 07:56","31.77% @ 25.7° C"
"292f38eb-d32e-4e1c-bf3f-81149f1ae826","465974","19-12-05 07:46","31.75% @ 25.7° C"
"057cb9d8-9843-47e2-a62e-35d1c7885d67","465974","19-12-05 07:36","31.79% @ 25.6° C"
"ff129469-bd93-4703-b0a8-37e08582d9ac","465974","19-12-05 07:26","31.73% @ 25.7° C"
"9f62683e-2da5-4b7e-aeb5-0d7993074342","465974","19-12-05 07:16","31.75% @ 25.7° C"
"36cf93be-199b-403a-819e-4f85b43f961d","465974","19-12-05 07:06","31.75% @ 25.7° C"
"9cb4c813-76c0-40a2-b8f4-eaa7fff2935b","465974","19-12-05 06:56","31.75% @ 25.7° C"
"2f939e4a-bbd7-47d9-b6e0-f51f016def6a","465974","19-12-05 06:46","31.68% @ 25.6° C"
"c42e5376-6f93-418b-bc57-89e19563dfd8","465974","19-12-05 06:36","31.72% @ 25.6° C"
"49a259ca-8e22-41e7-9b91-d252c983df04","465974","19-12-05 06:26","31.72% @ 25.6° C"
"a65fca29-f36f-4c8f-9075-e93f17d7949c","465974","19-12-05 06:16","31.66% @ 25.6° C"
"538b573e-3c13-4561-b200-6572796f5346","465974","19-12-05 06:06","31.7% @ 25.6° C"
"517cabcf-3f07-479a-b362-c26bfbd410d6","465974","19-12-05 05:56","31.6% @ 25.6° C"
"b53257ec-19b8-4cea-8f43-57cf690b5f13","465974","19-12-05 05:46","31.6% @ 25.6° C"
"b785ca33-03b2-48b2-b95f-b87b98afca0f","465974","19-12-05 05:36","31.61% @ 25.6° C"
"b38f59c4-26cd-4676-b2cf-de777a0da0aa","465974","19-12-05 05:26","31.65% @ 25.6° C"
"ca133cfd-85e3-4ff1-bba8-52d5d1609d28","465974","19-12-05 05:16","31.61% @ 25.5° C"
"e20f5ab6-9e3f-4e03-8f40-a3415ba758a1","465974","19-12-05 05:06","31.6% @ 25.5° C"
"79d4e4fb-7940-4a4e-855d-5bfb8ceaca7d","465974","19-12-05 04:56","31.59% @ 25.5° C"
"d0253a9c-1204-4023-9e5a-3f45c0ed9029","465974","19-12-05 04:46","31.66% @ 25.5° C"
"7f1407cb-d5a5-4c5d-9b44-94473de03673","465974","19-12-05 04:36","31.61% @ 25.5° C"
"225463a1-b32e-431e-84fa-ecda4ecde0b1","465974","19-12-05 04:26","31.61% @ 25.5° C"
"a4c30061-245f-4fab-97d6-1597ccb5a24a","465974","19-12-05 04:16","31.57% @ 25.5° C"
"638b43bd-dbb6-4610-a2f5-9c8a96879f9c","465974","19-12-05 04:06","31.62% @ 25.4° C"
"0d0f74ef-7a9d-440d-ba5e-28a56712f9d7","465974","19-12-05 03:56","31.67% @ 25.4° C"
"69c1e53d-e109-4d90-931d-dd635b7184a6","465974","19-12-05 03:46","31.59% @ 25.4° C"
"71d76924-0255-49ac-88c7-48993e7ef957","465974","19-12-05 03:36","31.61% @ 25.4° C"
"ef9dfa48-2a09-41b5-9d9a-1c20be92b917","465974","19-12-05 03:26","31.6% @ 25.4° C"
"424d2390-4ee6-45f1-846a-e4fccc83124f","465974","19-12-05 03:16","31.57% @ 25.4° C"
"0e2e6479-a20d-416b-8dfe-d38d855502a2","465974","19-12-05 03:06","31.58% @ 25.4° C"
"1fe246cf-220c-4809-80ec-810b413111f0","465974","19-12-05 02:56","31.56% @ 25.4° C"
"bf5c1b99-3d90-47a6-a7f9-b0f1258c4b66","465974","19-12-05 02:46","31.58% @ 25.3° C"
"a16afcb1-99b9-4b86-8898-d1ad3f4c8602","465974","19-12-05 02:36","31.55% @ 25.3° C"
"f4f4ae19-20ba-4db4-9ad2-51375cd5d172","465974","19-12-05 02:26","31.48% @ 25.3° C"
"3bdf44e0-6e6a-4aab-91e5-add3fbce8bd1","465974","19-12-05 02:16","31.48% @ 25.3° C"
"288a6726-a429-460a-8bf9-7036a9aaa2ce","465974","19-12-05 02:06","31.51% @ 25.3° C"
"b294b06f-4903-445d-9959-3f1149bd6a28","465974","19-12-05 01:56","31.49% @ 25.2° C"
"c28c4837-3704-46f3-9b35-f07e54236c69","465974","19-12-05 01:46","31.46% @ 25.2° C"
"0d2a3659-c65b-4385-9aa4-8cfe1e120d67","465974","19-12-05 01:36","31.44% @ 25.2° C"
"0d3ebb48-182f-4113-b4b9-fb375facdbba","465974","19-12-05 01:26","31.36% @ 25.2° C"
"ba25b3cb-e1c9-464d-b204-ddf544990aba","465974","19-12-05 01:16","31.33% @ 25.2° C"
"434a9dc1-3f5a-49a5-bacc-17e7c352687d","465974","19-12-05 01:06","31.35% @ 25.1° C"
"68205f4e-1a77-4be6-bce2-95507226fbd5","465974","19-12-05 00:56","31.29% @ 25.1° C"
"20d844c2-e6b9-4755-80f1-720ce8606e85","465974","19-12-05 00:46","31.24% @ 25.1° C"
"431fd7a9-4dda-441d-bf49-5e2753cfc57b","465974","19-12-05 00:36","31.23% @ 25.1° C"
"831661a1-ad56-41c4-95a2-7f18b355530e","465974","19-12-05 00:26","31.13% @ 25.1° C"
"db234dfe-a5e2-49e0-bee0-298b5dc41fce","465974","19-12-05 00:16","31.08% @ 25° C"
"51a010f7-7a23-45b1-8866-b409f4aab993","465974","19-12-05 00:06","31.08% @ 25° C"
